City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kruisfontein,ZA,-34.0033,24.7314,55.89,70,100,21.99,light rain
Katobu,ID,-4.9408,122.5276,75.33,88,100,4.47,overcast clouds
Lewiston,US,44.1003,-70.2148,54.79,98,100,3.44,overcast clouds
Jamestown,US,42.097,-79.2353,69.39,75,75,8.05,broken clouds
Gelnhausen,DE,50.2,9.1833,65.17,69,91,11.41,overcast clouds
Kibala,TD,9.1104,18.3463,89.55,62,75,5.75,broken clouds
Bengkulu,ID,-3.8004,102.2655,77.09,86,100,1.12,overcast clouds
Virginia Beach,US,36.8529,-75.978,73.02,86,20,4.61,few clouds
Lazaro Cardenas,MX,17.9583,-102.2,74.97,92,100,3.27,overcast clouds
Esperance,AU,-33.8667,121.9,56.3,82,52,18.77,light rain
Fortuna,US,40.5982,-124.1573,52.92,90,84,4.36,broken clouds
Hithadhoo,MV,-0.6,73.0833,82.87,72,74,7.67,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,67.15,84,16,12.93,few clouds
Thompson,CA,55.7435,-97.8558,51.96,100,100,2.3,fog
Hobart,AU,-42.8794,147.3294,48.06,83,20,6.91,few clouds
Kaitangata,NZ,-46.2817,169.8464,46.33,92,40,4.88,scattered clouds
Alyangula,AU,-13.8483,136.4192,78.4,89,86,5.21,overcast clouds
Babu,CN,24.4167,111.5167,83.5,57,63,2.86,broken clouds
Pevek,RU,69.7008,170.3133,32.11,91,100,13.31,overcast clouds
Bethel,US,41.3712,-73.414,70.66,82,100,1.01,overcast clouds
Havelock,US,34.8791,-76.9013,75.18,89,0,0.0,clear sky
Mahebourg,MU,-20.4081,57.7,75.49,64,40,14.97,scattered clouds
Bluff,NZ,-46.6,168.3333,46.8,81,14,9.73,few clouds
Adelaide,AU,-34.9333,138.6,57.33,66,0,8.05,clear sky
Albany,US,42.6001,-73.9662,68.38,94,26,2.55,scattered clouds
Pergamino,AR,-33.89,-60.5736,53.19,84,100,14.83,overcast clouds
Emerald,AU,-23.5333,148.1667,74.59,17,0,7.4,clear sky
Neyshabur,IR,36.2133,58.7958,83.8,16,0,4.81,clear sky
Mwinilunga,ZM,-11.7358,24.4293,87.51,27,89,1.25,overcast clouds
Lagoa,PT,39.05,-27.9833,73.72,84,1,7.49,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,95,7.0,overcast clouds
Atuona,PF,-9.8,-139.0333,76.06,78,21,19.53,light rain
Santa Barbara,US,34.7333,-120.0343,59.83,80,100,6.91,overcast clouds
Plesetsk,RU,62.708,40.2916,51.13,90,100,11.63,overcast clouds
Upernavik,GL,72.7868,-56.1549,33.4,78,100,7.25,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,2.59,overcast clouds
Belen,TR,36.4891,36.2233,80.74,51,0,20.71,clear sky
Prince Rupert,CA,54.3161,-130.3201,53.29,93,0,19.57,clear sky
Port Alfred,ZA,-33.5906,26.891,58.17,93,100,8.01,light rain
Chokurdakh,RU,70.6333,147.9167,36.7,61,100,14.12,overcast clouds
Sechelt,CA,49.4664,-123.7694,59.0,67,0,2.95,clear sky
Iqaluit,CA,63.7506,-68.5145,44.33,75,75,6.91,broken clouds
Asfi,MA,32.2994,-9.2372,73.54,70,3,10.09,clear sky
Vardo,NO,70.3705,31.1107,46.38,100,100,14.97,overcast clouds
Churachandpur,IN,24.3333,93.6667,72.25,89,56,2.73,broken clouds
Champerico,GT,14.3,-91.9167,75.74,86,100,9.01,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,78.67,72,80,6.26,broken clouds
Yellowknife,CA,62.456,-114.3525,45.12,100,75,4.61,broken clouds
Kahului,US,20.8947,-156.47,78.84,74,0,14.97,clear sky
Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,89.31,34,65,12.37,broken clouds
Morococha,PE,-11.5997,-76.1411,37.13,81,35,3.6,scattered clouds
Emet,TR,39.343,29.2585,78.21,26,16,7.34,few clouds
Castro,BR,-24.7911,-50.0119,56.32,74,87,7.65,overcast clouds
Rafai,CF,4.95,23.9167,89.65,45,64,3.27,broken clouds
Lenoir City,US,35.7973,-84.256,63.75,96,3,0.13,clear sky
Saint-Philippe,RE,-21.3585,55.7679,76.59,78,37,12.46,scattered clouds
Kapaa,US,22.0752,-159.319,78.1,80,20,13.8,few clouds
Kloulklubed,PW,7.0419,134.2556,77.5,70,100,6.96,overcast clouds
Bonthe,SL,7.5264,-12.505,80.85,73,51,9.64,light rain
Hilo,US,19.7297,-155.09,72.25,95,100,4.61,overcast clouds
Busselton,AU,-33.65,115.3333,52.72,65,45,9.51,scattered clouds
Totma,RU,59.9747,42.7642,58.78,97,100,9.4,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,69,2,2.53,clear sky
Zeya,RU,53.75,127.2667,35.04,60,83,10.33,broken clouds
Odesskoye,RU,54.2111,72.9651,70.32,26,54,6.51,broken clouds
Puerto Suarez,BO,-18.95,-57.8,88.36,69,20,5.75,few clouds
Ahipara,NZ,-35.1667,173.1667,60.04,97,100,6.71,overcast clouds
Wanning,CN,18.8003,110.3967,80.65,84,100,3.31,overcast clouds
Victoria,HK,22.2855,114.1577,89.19,78,64,5.99,broken clouds
Airai,TL,-8.9266,125.4092,62.15,89,98,1.57,overcast clouds
Nome,US,64.5011,-165.4064,44.67,81,100,17.27,overcast clouds
Riyadh,SA,24.6877,46.7219,104.14,8,0,5.37,clear sky
Katsuura,JP,35.1333,140.3,80.15,90,100,25.81,overcast clouds
Bowen,AU,-20.0167,148.2333,73.83,92,6,7.05,clear sky
Longyearbyen,SJ,78.2186,15.6401,28.24,69,20,10.36,few clouds
Barrow,US,71.2906,-156.7887,37.42,93,0,9.22,clear sky
Ulladulla,AU,-35.35,150.4667,42.76,76,48,2.84,light rain
Cape Town,ZA,-33.9258,18.4232,68.09,48,40,11.5,scattered clouds
Sidney,AU,-33.8679,151.2073,58.71,72,40,9.22,scattered clouds
Puerto Carreno,CO,6.189,-67.4859,78.78,83,40,4.61,scattered clouds
Jumla,NP,29.2747,82.1838,65.17,88,99,3.18,moderate rain
Port Hardy,CA,50.6996,-127.4199,51.98,93,100,2.3,overcast clouds
Khorramshahr,IR,30.4397,48.1664,111.15,10,0,4.61,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,93,75,6.71,broken clouds
Shaoyang,CN,27.2315,111.4525,78.44,55,46,5.26,scattered clouds
Biu,NG,10.6129,12.1946,73.13,86,80,13.04,moderate rain
Cerrito,CO,6.8432,-72.694,54.52,90,90,1.7,overcast clouds
Vaini,TO,-21.2,-175.2,75.36,78,40,9.22,scattered clouds
Fairbanks,US,64.8378,-147.7164,42.76,85,100,5.75,overcast clouds
Lebu,CL,-37.6167,-73.65,42.19,77,0,3.71,clear sky
Provideniya,RU,64.3833,-173.3,40.59,81,100,2.39,overcast clouds
Chicama,PE,-7.8447,-79.1469,57.74,88,95,3.71,overcast clouds
Ardrishaig,GB,56.0157,-5.4481,60.19,69,82,4.81,broken clouds
Fare,PF,-16.7,-151.0167,77.63,73,10,17.65,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,43.09,81,100,4.76,overcast clouds
Ahuimanu,US,21.4447,-157.8378,78.51,74,40,6.91,scattered clouds
Kibaya,TZ,-5.3,36.5667,80.87,29,22,8.48,few clouds
Do Gonbadan,IR,30.3586,50.7981,98.69,15,20,11.5,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,57.09,98,100,11.99,mist
New Norfolk,AU,-42.7826,147.0587,47.71,72,50,2.95,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,75.45,64,40,14.97,scattered clouds
Haines Junction,CA,60.7522,-137.5108,24.75,93,42,1.14,scattered clouds
Kolosovka,RU,56.4678,73.611,64.74,68,100,6.02,overcast clouds
Saint George,US,37.1041,-113.5841,67.95,38,0,7.0,clear sky
Severo-Kurilsk,RU,50.6789,156.125,53.22,98,100,19.75,light rain
Adre,TD,13.4667,22.2,92.97,32,54,4.88,broken clouds
Loa Janan,ID,-0.583,117.095,75.72,96,87,3.09,overcast clouds
Moroni,KM,-11.7022,43.2551,82.4,61,75,12.66,light rain
Cordoba,AR,-31.4135,-64.1811,52.43,72,100,16.11,overcast clouds
Kirando,TZ,-7.4167,30.6,85.73,44,63,9.53,broken clouds
Schuttorf,DE,52.3167,7.2333,65.21,82,79,8.01,broken clouds
Monte Alegre,BR,-2.0078,-54.0692,82.8,63,30,7.54,scattered clouds
Carnarvon,AU,-24.8667,113.6333,63.84,52,0,23.35,clear sky
Katangli,RU,51.7102,143.2326,52.3,80,28,7.2,scattered clouds
Umm Lajj,SA,25.0213,37.2685,87.44,54,1,15.9,clear sky
Valuyki,RU,50.2035,38.1067,63.99,42,36,20.58,scattered clouds
Acapulco,MX,16.8634,-99.8901,76.82,94,75,4.61,broken clouds
Baisha,CN,26.5222,110.9311,76.73,63,68,1.68,broken clouds
Urucara,BR,-2.5364,-57.76,85.6,49,50,2.62,scattered clouds
Otorohanga,NZ,-38.1833,175.2,61.32,72,98,3.91,overcast clouds
Benalla,AU,-36.55,145.9833,43.86,89,16,2.06,few clouds
Orsha,BY,54.5153,30.4053,53.35,79,100,20.31,light rain
Konevo,RU,62.1215,39.3192,51.3,94,100,11.56,light rain
Mattawa,US,46.7379,-119.9028,46.4,63,4,3.13,clear sky
Shimoda,JP,34.6667,138.95,77.11,90,100,23.94,overcast clouds
Kralendijk,BQ,12.15,-68.2667,82.38,83,20,8.05,few clouds
Hovd,MN,48.0056,91.6419,52.52,32,0,3.58,clear sky
Sergach,RU,55.5308,45.4661,65.82,59,99,20.92,overcast clouds
Leningradskiy,RU,69.3833,178.4167,32.2,95,100,21.79,light snow
College,US,64.8569,-147.8028,42.75,85,75,5.75,broken clouds
Oktyabrskiy,RU,54.4815,53.471,82.04,31,81,18.1,broken clouds
Carutapera,BR,-1.195,-46.02,82.89,68,95,8.9,overcast clouds
Whyalla,AU,-33.0333,137.5833,61.68,56,2,12.19,clear sky
Antofagasta,CL,-23.65,-70.4,56.48,62,14,5.99,few clouds
Marsh Harbour,BS,26.5412,-77.0636,82.72,72,35,7.29,scattered clouds
Hun,LY,29.1268,15.9477,101.5,10,0,0.76,clear sky
Lata,PT,40.1629,-8.3327,87.93,46,91,1.92,overcast clouds
Namatanai,PG,-3.6667,152.4333,78.37,83,79,7.61,light rain
Zhangye,CN,38.9342,100.4517,62.31,53,30,10.11,scattered clouds
Chuy,UY,-33.6971,-53.4616,60.96,85,99,7.0,overcast clouds
Saskylakh,RU,71.9167,114.0833,29.62,90,99,6.29,overcast clouds
Tura,IN,25.5198,90.2201,76.64,95,77,2.17,broken clouds
Lasa,IT,46.6166,10.7002,65.7,40,25,6.62,scattered clouds
Healdsburg,US,38.6105,-122.8692,59.94,87,100,0.0,overcast clouds
Lushoto,TZ,-4.7833,38.2833,65.75,70,84,5.03,light rain
Cayenne,GF,4.9333,-52.3333,82.44,78,0,2.3,clear sky
Mirpur Sakro,PK,24.5474,67.6277,87.53,50,0,13.38,clear sky
Geraldton,AU,-28.7667,114.6,59.41,63,100,12.66,overcast clouds
Manono,CD,-7.3,27.4167,93.58,32,97,3.53,overcast clouds
Acarau,BR,-2.8856,-40.12,84.49,61,92,17.49,overcast clouds
Kununurra,AU,-15.7667,128.7333,82.38,51,10,4.61,clear sky
Caravelas,BR,-17.7125,-39.2481,73.22,62,95,6.67,overcast clouds
Khandagayty,RU,50.7333,92.05,46.36,62,0,1.9,clear sky
Salalah,OM,17.0151,54.0924,86.09,74,40,12.66,scattered clouds
Margate,GB,51.3813,1.3862,63.7,56,43,5.01,scattered clouds
Itarema,BR,-2.9248,-39.9167,84.61,60,89,17.05,overcast clouds
La Ronge,CA,55.1001,-105.2842,46.62,100,75,5.75,broken clouds
Georgetown,MY,5.4112,100.3354,85.93,75,20,4.61,few clouds
Przhevalskoye,RU,55.5093,31.8482,48.02,90,100,17.13,light rain
Nhulunbuy,AU,-12.2333,136.7667,79.41,89,47,5.75,scattered clouds
Whitehorse,CA,60.7161,-135.0538,36.81,87,20,2.3,few clouds
Te Anau,NZ,-45.4167,167.7167,45.91,92,77,3.27,broken clouds
Barao De Melgaco,BR,-16.1944,-55.9675,95.13,37,0,11.92,clear sky
Baykit,RU,61.67,96.37,45.32,96,100,5.84,overcast clouds
Faanui,PF,-16.4833,-151.75,78.08,73,0,18.52,clear sky
Panzhihua,CN,26.5851,101.7128,76.24,77,72,0.58,broken clouds
Anadyr,RU,64.75,177.4833,36.1,93,20,4.47,few clouds
Alice Springs,AU,-23.7,133.8833,80.15,24,15,8.05,few clouds
Cherskiy,RU,68.75,161.3,30.07,73,31,4.97,scattered clouds
Hasaki,JP,35.7333,140.8333,79.29,89,100,27.11,light rain
Dunedin,NZ,-45.8742,170.5036,49.8,75,78,4.68,broken clouds
Takaka,NZ,-40.85,172.8,53.56,79,13,4.5,few clouds
Lompoc,US,34.6391,-120.4579,66.34,95,100,5.75,moderate rain
Port Moresby,PG,-9.4431,147.1797,76.96,88,86,5.1,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,54.68,68,1,3.04,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,79.05,78,20,8.21,few clouds
Ponta Do Sol,PT,32.6667,-17.1,77.0,89,52,4.59,light rain
Nabha,IN,30.3747,76.1486,88.5,45,85,3.94,overcast clouds
Ust-Omchug,RU,61.15,149.6333,38.8,59,100,4.74,light rain
North Bend,US,43.4065,-124.2243,54.86,100,100,8.05,overcast clouds
Korba,IN,22.35,82.6833,80.8,78,100,4.83,overcast clouds
Kailua,US,21.4022,-157.7394,78.78,75,40,6.91,scattered clouds
Broadstairs,GB,51.3591,1.4394,63.59,56,38,5.01,scattered clouds
Labuhan,ID,-6.8844,112.2051,80.83,69,100,10.96,overcast clouds
Husavik,IS,66.0449,-17.3389,57.81,70,100,8.3,overcast clouds
Beloha,MG,-25.1667,45.05,89.74,23,0,12.93,clear sky
Vostok,RU,46.4856,135.8833,37.17,81,100,8.93,overcast clouds
Constitucion,CL,-35.3333,-72.4167,48.87,58,97,5.73,overcast clouds
Malaryta,BY,51.7905,24.074,53.35,57,100,10.71,overcast clouds
Sorong,ID,-0.8833,131.25,79.65,80,100,4.65,overcast clouds
Ilulissat,GL,69.2167,-51.1,37.42,93,75,5.75,broken clouds
Gigmoto,PH,13.7796,124.39,81.32,84,100,7.16,moderate rain
Zarubino,RU,42.63,131.0922,52.99,52,0,22.35,clear sky
Southbridge,US,42.0751,-72.0334,66.16,98,84,5.08,broken clouds
Qaanaaq,GL,77.484,-69.3632,27.43,57,100,5.7,overcast clouds
Boyolangu,ID,-8.1181,111.8935,74.53,87,49,7.29,scattered clouds
Savannah Bight,HN,16.45,-85.85,83.1,76,46,12.26,scattered clouds
Ancud,CL,-41.8697,-73.8203,42.22,88,100,4.97,overcast clouds
Norman Wells,CA,65.282,-126.8329,41.04,87,75,3.44,broken clouds
Vesyegonsk,RU,58.664,37.2604,49.59,79,100,12.93,overcast clouds
Calbuco,CL,-41.768,-73.1273,42.01,85,91,9.73,overcast clouds
Katherine,AU,-14.4667,132.2667,91.72,38,40,13.8,scattered clouds
Stornoway,GB,58.2093,-6.3865,57.92,92,75,8.05,broken clouds
Poya,NC,-21.35,165.15,70.16,87,1,6.49,clear sky
Grahamstown,ZA,-33.3042,26.5328,51.94,91,100,18.32,light rain
Broome,US,42.2506,-75.833,68.68,85,0,6.91,clear sky
Vladeni,RO,47.7167,26.5167,62.47,52,0,19.57,clear sky
Yinchuan,CN,38.4681,106.2731,56.44,71,100,5.03,overcast clouds
Artyom,AZ,40.4723,50.333,84.34,60,0,13.91,clear sky
Eitorf,DE,50.7667,7.45,61.83,77,67,11.95,broken clouds
Palmas Bellas,PA,9.2319,-80.0867,75.96,90,100,6.22,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,52.84,81,100,6.15,light rain
Gimli,CA,50.6336,-96.9907,53.62,94,92,3.44,overcast clouds
Kristiinankaupunki,FI,62.2743,21.376,52.2,89,100,17.49,overcast clouds
Ottawa,CA,45.4112,-75.6981,53.89,94,100,11.5,overcast clouds
Sitka,US,57.0531,-135.33,46.29,93,0,5.75,clear sky
Freeport,US,40.6576,-73.5832,73.36,81,100,10.36,overcast clouds
Tiksi,RU,71.6872,128.8694,33.66,99,100,12.71,snow
Hinton,CA,53.4001,-117.5857,41.56,98,100,4.14,overcast clouds
Nishihara,JP,26.1842,127.7558,80.65,78,75,19.57,broken clouds
Sobolevo,RU,54.4299,31.8996,50.34,85,100,19.22,light rain
Saint-Pierre,RE,-21.3393,55.4781,76.68,57,100,19.57,overcast clouds
Basco,PH,20.4487,121.9702,83.62,73,100,12.39,overcast clouds
Christchurch,NZ,-43.5333,172.6333,53.8,66,99,4.61,overcast clouds
Avera,US,33.194,-82.5271,67.55,76,0,8.25,clear sky
Petatlan,MX,17.5167,-101.2667,75.0,97,100,2.35,overcast clouds
Nefteyugansk,RU,61.0998,72.6035,54.07,67,100,10.0,overcast clouds
San Jose,US,37.3394,-121.895,62.47,91,75,6.91,broken clouds
Bathsheba,BB,13.2167,-59.5167,86.61,70,20,13.8,few clouds
Long Xuyen,VN,10.3833,105.4167,78.75,77,84,10.67,broken clouds
Port Lincoln,AU,-34.7333,135.8667,58.05,78,44,21.3,scattered clouds
Raahe,FI,64.6833,24.4833,53.69,87,100,21.47,overcast clouds
Codrington,AU,-38.2667,141.9667,45.36,93,1,6.89,clear sky
Cap Malheureux,MU,-19.9842,57.6142,75.47,61,1,7.0,clear sky
Platteville,US,42.7342,-90.4785,61.03,100,100,4.61,overcast clouds
Naryan-Mar,RU,67.6713,53.087,53.11,79,98,6.62,overcast clouds
Kodiak,US,57.79,-152.4072,54.91,82,100,10.36,overcast clouds
Piterka,RU,50.6803,47.4454,78.53,49,100,13.94,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,41.07,100,100,0.0,fog
Ballina,AU,-28.8667,153.5667,61.79,80,0,6.62,clear sky
Presidente Olegario,BR,-18.4178,-46.4181,78.76,42,0,9.69,clear sky
Tanggu,CN,39.0211,117.6469,71.56,38,43,6.4,scattered clouds
Khani,GE,41.9563,42.9566,72.97,91,98,5.37,overcast clouds
Lavrentiya,RU,65.5833,-171.0,37.29,85,100,5.75,overcast clouds
Bundaberg,AU,-24.85,152.35,66.22,98,0,1.99,clear sky
Le Port,RE,-20.9373,55.2919,77.0,75,51,4.05,light rain
Biak,ID,-0.9131,122.8766,76.8,85,21,4.76,few clouds
Canutama,BR,-6.5339,-64.3831,86.07,59,85,2.51,overcast clouds
Narsaq,GL,60.9167,-46.05,57.42,74,89,4.79,overcast clouds
Henties Bay,NA,-22.116,14.2845,58.86,63,0,17.63,clear sky
West Lorne,CA,42.6001,-81.5998,65.44,91,25,9.13,moderate rain
Kiunga,PG,-6.1219,141.2906,74.68,95,100,2.21,overcast clouds
Asau,RO,46.4333,26.4,58.12,43,87,9.17,overcast clouds
Berdigestyakh,RU,62.0989,126.6992,26.98,88,12,2.57,few clouds
Kargil,IN,34.5667,76.1,63.7,12,1,5.03,clear sky
Stromness,GB,58.965,-3.296,54.88,72,23,4.0,few clouds
Kilindoni,TZ,-7.9139,39.6668,77.74,73,3,12.39,clear sky
Knysna,ZA,-34.0363,23.0471,60.93,50,28,11.43,scattered clouds
Vao,NC,-22.6667,167.4833,73.89,79,77,15.46,broken clouds
Hervey Bay,AU,-25.2986,152.8535,70.02,88,0,11.01,clear sky
Muravlenko,RU,63.7898,74.523,47.53,87,88,16.73,overcast clouds
Deputatskiy,RU,69.3,139.9,30.18,97,100,3.4,light snow
La Concordia,NI,13.1953,-86.1667,67.48,94,100,1.59,overcast clouds
Ikalamavony,MG,-21.15,46.5833,81.99,26,4,11.59,clear sky
Laguna,US,38.421,-121.4238,64.38,93,100,4.61,overcast clouds
Hamilton,US,39.1834,-84.5333,71.2,91,75,17.27,broken clouds
Doha,QA,25.2867,51.5333,97.11,53,0,10.36,clear sky
Isoka,ZM,-10.1606,32.6335,91.11,14,10,9.17,clear sky
Isangel,VU,-19.55,169.2667,77.11,88,40,2.3,scattered clouds
Bara,NG,10.3744,10.7288,78.66,79,99,14.05,overcast clouds
Bosaso,SO,11.2842,49.1816,91.38,75,0,6.91,clear sky
Luderitz,NA,-26.6481,15.1594,64.45,47,0,29.46,clear sky
Fort Nelson,CA,58.8053,-122.7002,44.19,87,75,0.0,broken clouds
Tukrah,LY,32.5341,20.5791,82.04,57,0,12.12,clear sky
Kalemie,CD,-5.9475,29.1947,83.41,49,100,4.56,overcast clouds
Aleksandrovskiy Zavod,RU,50.9237,117.9374,38.82,51,100,4.25,overcast clouds
Guapiacu,BR,-20.795,-49.2203,73.69,49,0,9.22,clear sky
Abu Samrah,SY,35.3029,37.1841,94.6,19,0,6.69,clear sky
Kangaatsiaq,GL,68.3065,-53.4641,38.79,88,24,0.98,few clouds
Les Escoumins,CA,48.1111,-69.0236,42.15,56,0,4.41,clear sky
Peniche,PT,39.3558,-9.3811,87.3,71,95,2.62,light rain
Agadir,MA,30.4202,-9.5982,75.65,66,53,8.77,broken clouds
Amuntai,ID,-2.4177,115.2494,75.78,95,100,1.14,light rain
Chara,RU,56.9064,118.2631,34.75,67,60,4.07,broken clouds
Mount Gambier,AU,-37.8333,140.7667,43.41,91,0,5.32,clear sky
La Palma,US,33.8464,-118.0467,67.01,85,0,3.44,clear sky
Hirara,JP,24.8,125.2833,80.15,71,83,20.74,broken clouds
Beisfjord,NO,68.3751,17.5988,50.05,97,100,4.65,overcast clouds
Kieta,PG,-6.2167,155.6333,78.37,83,100,2.53,light rain
Paita,PE,-5.0892,-81.1144,65.01,85,94,11.99,overcast clouds
Ambunti,PG,-4.2365,142.8448,75.63,93,62,3.06,moderate rain
Clyde River,CA,70.4692,-68.5914,35.83,100,100,11.5,overcast clouds
San Angelo,US,31.4638,-100.437,70.02,82,0,0.0,clear sky
Halifax,CA,44.6453,-63.5724,53.6,81,96,5.75,overcast clouds
Brigantine,US,39.4101,-74.3646,74.03,84,0,4.61,clear sky
Yar-Sale,RU,66.8333,70.8333,47.82,76,100,6.78,overcast clouds
Kroya,ID,-7.6331,109.2461,76.84,84,79,9.73,broken clouds
Gayeri,BF,12.6497,0.4931,86.31,59,33,2.98,scattered clouds
Chifeng,CN,42.2683,118.9636,51.35,32,100,5.03,overcast clouds
Matara,LK,5.9485,80.5353,79.77,83,100,11.86,overcast clouds
Salacgriva,LV,57.7536,24.3581,57.76,70,100,16.98,overcast clouds
Mapiripan,CO,2.8892,-72.1256,79.21,84,67,2.64,broken clouds
Palmer,US,42.1584,-72.3287,67.77,93,75,0.0,broken clouds
Jablah,SY,35.3614,35.9256,82.8,64,0,8.21,clear sky
Lamar,US,33.6668,-95.5836,72.64,93,0,5.75,clear sky
Wana,PK,32.2989,69.5725,82.08,32,0,8.59,clear sky
Ikom,NG,5.9667,8.7063,78.69,89,100,2.04,moderate rain
Yumen,CN,40.2833,97.2,68.5,36,0,14.32,clear sky
Mankono,CI,8.0586,-6.1897,78.87,80,100,5.79,light rain
Srednekolymsk,RU,67.45,153.6833,42.28,50,100,9.08,overcast clouds
Juneau,US,58.3019,-134.4197,48.22,100,40,0.0,fog
Fukue,JP,32.6881,128.8419,74.3,78,95,24.34,overcast clouds
Okhotsk,RU,59.3833,143.3,41.61,87,100,30.11,light rain
Tarakan,ID,3.3,117.6333,81.9,78,20,3.44,few clouds
Sibolga,ID,1.7427,98.7792,76.93,81,83,2.51,broken clouds
Vestmanna,FO,62.1564,-7.1664,47.32,100,75,13.8,drizzle
Nouadhibou,MR,20.931,-17.0347,80.58,61,0,14.97,clear sky
Sistranda,NO,63.7256,8.834,51.76,66,21,16.46,few clouds
Victor Harbor,AU,-35.5667,138.6167,52.68,89,0,7.92,clear sky
Noshiro,JP,40.2039,140.0242,73.74,97,93,11.05,overcast clouds
Verkh-Suetka,RU,53.3,80.05,57.47,33,15,5.79,few clouds
Semirom,IR,31.4167,51.5667,67.03,35,99,0.78,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,80.2,75,29,5.01,scattered clouds
Singkang,MY,2.1006,102.7994,76.17,84,93,2.55,overcast clouds
Belmonte,BR,-15.8631,-38.8828,76.35,65,56,9.08,broken clouds
San Vicente,AR,-26.6167,-54.1333,56.59,99,100,2.68,moderate rain
Puerto Escondido,MX,15.85,-97.0667,74.23,64,75,4.61,broken clouds
